fname,lname,number,position,year,teamID,image_path,height,weight,hometown,highschool
Romeo,Langford,0,Guard,Fr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Langford.jpg?width=80,"6'6""",215 lbs,"New Albany, Ind.",New Albany
Aljami,Durham,1,Guard,So.,2,https://iuhoosiers.com/images/2018/8/15/Web_Durham.jpg?width=80,"6'4""",181 lbs,"Lilburn, Ga.",Berkmar
Johnny,Jager,2,Guard,R-Jr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Jager.jpg?width=80,"6'0""",185 lbs,"Bloomington, Ind.",Bloomington South
Justin,Smith,3,Forward,So.,2,https://iuhoosiers.com/images/2018/8/15/Web_Smith.jpg?width=80,"6'7""",227 lbs,"Buffalo Grove, Ill.",Adlai Stevenson
Jake,Forrester,4,Forward,Fr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Forrester.jpg?width=80,"6'8""",218 lbs,"Harrisburg, Pa.",Westtown School
Quentin,Taylor,5,Guard,Sr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Taylor.jpg?width=80,"6'2""",185 lbs,"Indianapolis, Ind.",Brebeuf
Rob,Phinisee,10,Guard,Fr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Phinisee.jpg?width=80,"6'1""",182 lbs,"Lafayette, Ind.",McCutcheon
Devonte,Green,11,Guard,Jr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Green.jpg?width=80,"6'3""",185 lbs,"North Babylon, N.Y.",Long Island Lutheran
Juwan,Morgan,13,Forward,Sr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Morgan.jpg?width=80,"6'8""",232 lbs,"Waynesville, Mo.",Waynesville
Zach,McRoberts,15,Guard,R-Sr.,2,https://iuhoosiers.com/images/2018/8/15/Web_McRoberts.jpg?width=80,"6'6""",210 lbs,"Carmel, Ind.",Carmel
De'Ron,Davis,20,Forward,Jr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Davis.jpg?width=80,"6'10""",255 lbs,"Park Hill, Colo.",Overland
Jerome,Hunter,21,Forward,Fr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Hunter.jpg?width=80,"6'7""",214 lbs,"Pickerington, Ohio",Pickerington North
Clifton,Moore,22,Forward,So.,2,https://iuhoosiers.com/images/2018/8/15/Web_Moore.jpg?width=80,"6'10""",230 lbs,"Ambler, Pa.",Hatboro-Horsham
Damezi,Anderson,23,Forward,Fr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Anderson.jpg?width=80,"6'7""",215 lbs,"South Bend, Ind.",Riley
Vijay,Blackmon,24,Guard,R-So.,2,https://iuhoosiers.com/images/2018/8/15/Web_Blackmon_71.jpg?width=80,"6'2""",185 lbs,"Marion, Ind.",Marion
Race,Thompson,25,Forward,R-Fr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Thompson.jpg?width=80,"6'8""",228 lbs,"Plymouth, Minn.",Armstrong
Evan,Fitzner,55,Forward,R-Sr.,2,https://iuhoosiers.com/images/2018/8/15/Web_Fitzner.jpg?width=80,"6'10""",225 lbs,"San Diego, Calif.",Francis Parker
