stat_type,stat_number,FBathleteID,teamID
GP,12,14,2
RTG,128.23,14,2
CMP,295,14,2
ATT,447,14,2
INT,13,14,2
YDS,2875,14,2
TD,19,14,2
Long,65,14,2
AVG/G,239.58,14,2
GP,12,14,2
RTG,128.23,14,2
CMP,295,14,2
ATT,447,14,2
INT,13,14,2
YDS,2875,14,2
TD,19,14,2
Long,65,14,2
AVG/G,239.58,14,2
GP,3,12,2
RTG,125.58,12,2
CMP,21,12,2
ATT,34,12,2
INT,0,12,2
YDS,219,12,2
TD,1,12,2
Long,34,12,2
AVG/G,73.00,12,2
GP,3,12,2
RTG,125.58,12,2
CMP,21,12,2
ATT,34,12,2
INT,0,12,2
YDS,219,12,2
TD,1,12,2
Long,34,12,2
AVG/G,73.00,12,2
